index,Name,published,type,downloads,onlineTime,steamRate,steamComments,24h Peak,All-Time Peak,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Followers gained,Views gained,VPR
887,Super Spring Ninja,2017/3/14,Action,21226,00:00 (00:5226),82%,17,472,"2,541",0,0,0,0,0,0,0,0.0,0,0,0.0
888,The Elder Scrolls: Legends,2017/5/31,Rpg,1542000,00:00 (00:00),74%,"9,272",472,"8,873",0,0,0,0,0,0,0,0.0,0,0,0.0
889,"Warhammer 40,000: Dawn of War - Dark Crusade",2007/8/7,Strategy,1177000,02:20 (00:46),96%,"3,790",471,"2,259",0,0,0,0,0,0,0,0.0,0,0,0.0
890,Galactic Civilizations III,2015/5/14,Strategy,853000,00:00 (00:00),76%,"7,418",471,"6,297",0,0,0,0,0,0,0,0.0,0,0,0.0
891,Stoire,2019/11/14,Others,29000,00:00 (00:00),,,471,"2,422",0,0,0,0,0,0,0,0.0,0,0,0.0
892,Trine 4: The Nightmare Prince,2019/10/8,Action,351000,00:00 (00:00),91%,"4,670",469,"1,744",0,0,0,0,0,0,0,0.0,0,0,0.0
893,100% Orange Juice,2013/9/10,Strategy,880000,00:00 (00:00),93%,"10,068",468,"3,860",0,0,0,0,0,0,0,0.0,0,0,0.0
894,Beyond: Two Souls,2020/6/18,Action,123000,02:00 (00:40),89%,"3,012",467,"1,346",449880,54900,479,33,285,104,12,8.19,266,6587,7.198907104
896,APB Reloaded,2011/12/6,Action,5133000,00:00 (00:00),63%,"34,610",466,"11,813",0,0,0,0,0,0,0,0.0,0,0,0.0
897,Hacknet,2015/8/12,Simulation,1485000,00:40 (00:21),93%,"10,485",466,"127,640",0,0,0,0,0,0,0,0.0,0,0,0.0
900,Bus Simulator 18,2018/6/13,Simulation,324000,00:20 (00:06),76%,"4,423",459,"3,887",0,0,0,0,0,0,0,0.0,0,0,0.0
901,Atelier Ryza: Ever Darkness & the Secret Hideout,2019/10/28,Rpg,132000,02:00 (00:40),86%,"3,733",459,"4,616",0,0,0,0,0,0,0,0.0,0,0,0.0
902,"Hot Dogs, Horseshoes & Hand Grenades",2016/4/5,Action,469000,00:17 (00:05),96%,"7,758",456,813,0,0,0,0,0,0,0,0.0,0,0,0.0
